,Car_Model,Type,Location,Car_Body_Type,Model_Year,Brand,Km_Driven,Ownership,Fuel_Type,RTO_Office,Discounted_Car_Price,Baseline_Price,Car_Type,Age_of_Car,Km_Driven_Per_Year,Categorize_Car_Price
0,Volkswagen Polo,GT TSI ATAutomatic,Sonnappanahalli,HatchBack,2016,Volkswagen,96698,2ND OWNER,PETROL,KA-09,708000,738000,Automatic,7,13814,5 lakh-10 lakh
1,Maruti Swift,LXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2015,Maruti,60352,2ND OWNER,PETROL,KA-41,429000,476000,Manual,8,7544,2.5 lakh-5 lakh
2,Maruti Swift,VXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Maruti,134850,2ND OWNER,PETROL,KA-51,314000,340000,Manual,13,10373.07692,2.5 lakh-5 lakh
3,Hyundai Elite i20,SPORTZ PLUS 1.2Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2020,Hyundai,49087,1ST OWNER,PETROL,KA-50,710000,776000,Manual,3,16362.33333,5 lakh-10 lakh
4,Maruti Celerio,VXI (O)Manual,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,57986,2ND OWNER,PETROL,KA-06,406000,441000,Manual,6,9664.333333,2.5 lakh-5 lakh
5,Hyundai Elite i20,ASTA 1.4 CRDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2015,Hyundai,123976,1ST OWNER,DIESEL,KA-41,573000,601000,Manual,8,15497,5 lakh-10 lakh
6,Volkswagen Polo,GT TDIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2013,Volkswagen,109232,2ND OWNER,DIESEL,KA-51,479000,491000,Manual,10,10923.2,2.5 lakh-5 lakh
7,Hyundai i10,SPORTZ 1.2 ATAutomatic,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,67048,3RD OWNER,PETROL,KA-05,344000,361000,Automatic,10,6704.8,2.5 lakh-5 lakh
8,Tata Tiago,XT PETROLManual,"Bellahalli, Bengaluru",HatchBack,2021,Tata,14992,1ST OWNER,PETROL,KA-09,632000,632000,Manual,2,7496,5 lakh-10 lakh
9,Hyundai i20,ASTA 1.2Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2013,Hyundai,31502,1ST OWNER,PETROL,KA-05,493000,539000,Manual,10,3150.2,2.5 lakh-5 lakh
10,Maruti IGNIS,ZETA 1.2 AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2017,Maruti,65909,1ST OWNER,PETROL,KA-50,590000,646000,Automatic,6,10984.83333,5 lakh-10 lakh
11,Hyundai NEW SANTRO,SPORTZ AMTAutomatic,"GT World Mall, Bengaluru",HatchBack,2019,Hyundai,25997,2ND OWNER,PETROL,KA-05,557000,590000,Automatic,4,6499.25,5 lakh-10 lakh
12,Hyundai Eon,ERA +Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2012,Hyundai,63020,2ND OWNER,PETROL,KA-01,218000,218000,Manual,11,5729.090909,below 2.5 lakh
13,Maruti Alto,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Maruti,26085,2ND OWNER,PETROL,KA-04,411000,450000,Manual,3,8695,2.5 lakh-5 lakh
14,Hyundai i20,MAGNA (O) 1.4 CRDIManual,"Bellahalli, Bengaluru",HatchBack,2013,Hyundai,90106,2ND OWNER,DIESEL,KA-01,385000,423000,Manual,10,9010.6,2.5 lakh-5 lakh
15,Maruti New Wagon-R,ZXI 1.2Manual,Sonnappanahalli,HatchBack,2021,Maruti,27658,1ST OWNER,PETROL,KA-09,619000,661000,Manual,2,13829,5 lakh-10 lakh
16,Maruti Ritz,VXIManual,"GT World Mall, Bengaluru",HatchBack,2013,Maruti,54782,1ST OWNER,PETROL,KA-05,378000,430000,Manual,10,5478.2,2.5 lakh-5 lakh
17,Maruti S PRESSO,VXIManual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Maruti,57644,2ND OWNER,PETROL,KA-20,387000,425000,Manual,3,19214.66667,2.5 lakh-5 lakh
18,Hyundai Grand i10,ASTA (O) AT 1.2 KAPPA VTVTAutomatic,"Bellahalli, Bengaluru",HatchBack,2016,Hyundai,67771,2ND OWNER,PETROL,KA-05,525000,572000,Automatic,7,9681.571429,5 lakh-10 lakh
19,Renault Kwid,CLIMBER 1.0 AMT (O)Automatic,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2020,Renault,46218,2ND OWNER,PETROL,KA-50,498000,521000,Automatic,3,15406,2.5 lakh-5 lakh
20,Hyundai i20 Active,1.4 SXManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,51659,2ND OWNER,DIESEL,KA-01,665000,687000,Manual,8,6457.375,5 lakh-10 lakh
21,Maruti Wagon R 1.0,LXIManual,"Horamavu Agara Road, Bengaluru",HatchBack,2010,Maruti,80330,2ND OWNER,PETROL,UP-16,222000,248000,Manual,13,6179.230769,below 2.5 lakh
22,Maruti Alto K10,VXI (O) AMTAutomatic,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,14039,1ST OWNER,PETROL,KA-01,436000,436000,Automatic,7,2005.571429,2.5 lakh-5 lakh
23,Hyundai Elite i20,ASTA 1.4 CRDI (O)Manual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2017,Hyundai,60228,1ST OWNER,DIESEL,KA-03,724000,773000,Manual,6,10038,5 lakh-10 lakh
24,Maruti Celerio,VXI (O)Manual,"Horamavu Agara Road, Bengaluru",HatchBack,2016,Maruti,71295,1ST OWNER,PETROL,KA-03,436600,456000,Manual,7,10185,2.5 lakh-5 lakh
25,Maruti S PRESSO,VXI (O) AMTAutomatic,"Bellahalli, Bengaluru",HatchBack,2020,Maruti,28297,1ST OWNER,PETROL,KA-03,482000,541000,Automatic,3,9432.333333,2.5 lakh-5 lakh
26,Hyundai i20,ASTA 1.2Manual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,77526,1ST OWNER,PETROL,KA-04,502000,535000,Manual,9,8614,5 lakh-10 lakh
27,Maruti Baleno,ZETA PETROL 1.2Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2017,Maruti,56997,1ST OWNER,PETROL,KA-03,691000,712000,Manual,6,9499.5,5 lakh-10 lakh
28,Hyundai Grand i10,ASTA 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2014,Hyundai,82149,2ND OWNER,PETROL,KA-05,393000,422000,Manual,9,9127.666667,2.5 lakh-5 lakh
29,Tata Tiago,XZ PETROLManual,"Bellahalli, Bengaluru",HatchBack,2018,Tata,49325,1ST OWNER,PETROL,KA-04,521000,572000,Manual,5,9865,5 lakh-10 lakh
30,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2015,Hyundai,51618,1ST OWNER,PETROL,KA-53,460000,534000,Manual,8,6452.25,2.5 lakh-5 lakh
31,Maruti S PRESSO,VXI+Manual,"Bellahalli, Bengaluru",HatchBack,2022,Maruti,8212,1ST OWNER,PETROL,KA-19,560000,610000,Manual,1,8212,5 lakh-10 lakh
32,Maruti Alto K10,VXIManual,"GT World Mall, Bengaluru",HatchBack,2011,Maruti,58883,3RD OWNER,PETROL,KA-05,221000,232000,Manual,12,4906.916667,below 2.5 lakh
33,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Bellahalli, Bengaluru",HatchBack,2019,Hyundai,55168,1ST OWNER,PETROL,KA-14,572000,632000,Manual,4,13792,5 lakh-10 lakh
34,Maruti Swift,VXIManual,"Bellahalli, Bengaluru",HatchBack,2012,Maruti,58556,1ST OWNER,PETROL,KA-05,484000,503000,Manual,11,5323.272727,2.5 lakh-5 lakh
35,Tata Tiago,XZ PETROLManual,Sonnappanahalli,HatchBack,2018,Tata,36692,2ND OWNER,PETROL,KA-41,486000,526000,Manual,5,7338.4,2.5 lakh-5 lakh
36,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVTManual,"Hosur Road, Singasandra, Bengaluru",HatchBack,2016,Hyundai,49408,1ST OWNER,PETROL,KA-51,482000,524000,Manual,7,7058.285714,2.5 lakh-5 lakh
37,Renault Kwid,RXT 0.8 (O)Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Renault,53574,2ND OWNER,PETROL,KA-16,318000,342000,Manual,7,7653.428571,2.5 lakh-5 lakh
38,Hyundai i10,MAGNA 1.1Manual,"Whitefield Main Road, Bhoruka Tech Park, Benga...",HatchBack,2016,Hyundai,28023,1ST OWNER,PETROL,KA-05,400000,481000,Manual,7,4003.285714,2.5 lakh-5 lakh
