,Car_Model,Configuration,Type,Discounted_Price,Location
0,2016 Volkswagen Polo,"96,698 KM
2ND OWNER
PETROL
KA-09",GT TSI ATAutomatic,"₹7,08,000
₹7,38,000",Sonnappanahalli
1,2015 Maruti Swift,"60,352 KM
2ND OWNER
PETROL
KA-41",LXIManual,"₹4,29,000
₹4,76,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
2,2010 Maruti Swift,"1,34,850 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹3,14,000
₹3,40,000","Horamavu Agara Road, Bengaluru"
3,2020 Hyundai Elite i20,"49,087 KM
1ST OWNER
PETROL
KA-50",SPORTZ PLUS 1.2Manual,"₹7,10,000
₹7,76,000","Horamavu Agara Road, Bengaluru"
4,2017 Maruti Celerio,"57,986 KM
2ND OWNER
PETROL
KA-06",VXI (O)Manual,"₹4,06,000
₹4,41,000","Bellahalli, Bengaluru"
5,2015 Hyundai Elite i20,"1,23,976 KM
1ST OWNER
DIESEL
KA-41",ASTA 1.4 CRDIManual,"₹5,73,000
₹6,01,000","Horamavu Agara Road, Bengaluru"
6,2013 Volkswagen Polo,"1,09,232 KM
2ND OWNER
DIESEL
KA-51",GT TDIManual,"₹4,79,000
₹4,91,000","Horamavu Agara Road, Bengaluru"
7,2013 Hyundai i10,"67,048 KM
3RD OWNER
PETROL
KA-05",SPORTZ 1.2 ATAutomatic,"₹3,44,000
₹3,61,000","Hosur Road, Singasandra, Bengaluru"
8,2021 Tata Tiago,"14,992 KM
1ST OWNER
PETROL
KA-09",XT PETROLManual,"₹6,32,000","Bellahalli, Bengaluru"
9,2013 Hyundai i20,"31,502 KM
1ST OWNER
PETROL
KA-05",ASTA 1.2Manual,"₹4,93,000
₹5,39,000","Hosur Road, Singasandra, Bengaluru"
10,2017 Maruti IGNIS,"65,909 KM
1ST OWNER
PETROL
KA-50",ZETA 1.2 AMTAutomatic,"₹5,90,000
₹6,46,000","Bellahalli, Bengaluru"
11,2019 Hyundai NEW SANTRO,"25,997 KM
2ND OWNER
PETROL
KA-05",SPORTZ AMTAutomatic,"₹5,57,000
₹5,90,000","GT World Mall, Bengaluru"
12,2012 Hyundai Eon,"63,020 KM
2ND OWNER
PETROL
KA-01",ERA +Manual,"₹2,18,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
13,2020 Maruti Alto,"26,085 KM
2ND OWNER
PETROL
KA-04",VXIManual,"₹4,11,000
₹4,50,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
