,Car_Model,Configuration,Type,Discounted_Price,Location
0,2017 Toyota Innova Crysta,"35,154 KM
1ST OWNER
DIESEL
DL-10",2.4 VX 7 STRManual,"₹16,61,000","Garuda Mall, Magrath Road, Bengaluru"
1,2012 Maruti Ertiga,"1,01,087 KM
1ST OWNER
DIESEL
KA-04",VDIManual,"₹6,18,000
₹6,42,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
2,2016 Maruti Ertiga,"75,759 KM
2ND OWNER
PETROL
KA-52",VXIManual,"₹7,14,000
₹7,42,000","Hosur Road, Singasandra, Bengaluru"
3,2017 Maruti Vitara Brezza,"68,244 KM
1ST OWNER
DIESEL
KA-03",ZDIManual,"₹8,94,000
₹9,02,000","Bellahalli, Bengaluru"
4,2022 Maruti XL6,"10,162 KM
1ST OWNER
PETROL
KA-51",ZETA MTManual,"₹11,90,000
₹12,42,000","Garuda Mall, Magrath Road, Bengaluru"
5,2016 Mahindra Kuv100,"23,017 KM
1ST OWNER
DIESEL
KA-04",K6 D 6 STRManual,"₹4,91,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
6,2016 Ford Ecosport,"41,491 KM
1ST OWNER
PETROL
KA-03",TREND 1.5L PETROLManual,"₹6,92,000
₹7,24,000","Bellahalli, Bengaluru"
7,2019 Hyundai Creta,"80,463 KM
1ST OWNER
DIESEL
KA-04",SX AT 1.6 DIESELAutomatic,"₹13,01,000
₹14,12,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
8,2016 Maruti Vitara Brezza,"54,840 KM
1ST OWNER
DIESEL
KA-04",VDIManual,"₹7,76,000
₹8,14,000","Garuda Mall, Magrath Road, Bengaluru"
9,2014 Ford Ecosport,"1,24,257 KM
1ST OWNER
DIESEL
KA-01",TITANIUM 1.5L DIESEL (OPT)Manual,"₹5,52,000
₹5,71,000","Bellahalli, Bengaluru"
10,2021 KIA SELTOS,"7,506 KM
1ST OWNER
PETROL
KA-01",HTK PLUS 1.5 IMTManual,"₹12,73,000","Garuda Mall, Magrath Road, Bengaluru"
11,2022 Toyota URBAN CRUISER,"4,670 KM
1ST OWNER
PETROL
KA-03",PREMIUM GRADE ATAutomatic,"₹12,14,000
₹12,66,000","Garuda Mall, Magrath Road, Bengaluru"
12,2019 Hyundai Creta,"29,116 KM
2ND OWNER
PETROL
KA-51",SX AT 1.6 PETROLAutomatic,"₹12,17,000
₹12,70,000","Bellahalli, Bengaluru"
13,2016 Maruti Vitara Brezza,"50,056 KM
1ST OWNER
DIESEL
KA-03",ZDI PLUSManual,"₹8,84,000
₹8,90,000","Garuda Mall, Magrath Road, Bengaluru"
14,2017 Renault Duster,"82,851 KM
2ND OWNER
DIESEL
KA-02",85 PS RXS MT DIESELManual,"₹7,25,000
₹7,66,000","Bellahalli, Bengaluru"
15,2016 Ford Ecosport,"99,776 KM
1ST OWNER
DIESEL
KA-05",TREND+ 1.5L DIESELManual,"₹6,48,000
₹6,79,000",Sonnappanahalli
