,Car_Model,Configuration,Type,Discounted_Price,Location
0,2015 Honda City,"1,21,655 KM
1ST OWNER
PETROL
KA-02",1.5L I-VTEC V MTManual,"₹5,74,000
₹6,43,000","Hosur Road, Singasandra, Bengaluru"
1,2015 Honda City,"75,724 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC VXManual,"₹6,46,000
₹6,77,000","Hosur Road, Singasandra, Bengaluru"
2,2014 Maruti Swift Dzire,"81,777 KM
3RD OWNER
PETROL
KA-50",ZXIManual,"₹4,79,000","Bellahalli, Bengaluru"
3,2014 Honda City,"1,33,114 KM
1ST OWNER
DIESEL
KA-02",1.5L I-DTEC VManual,"₹5,29,000
₹5,81,000","Bellahalli, Bengaluru"
4,2010 Honda City,"69,203 KM
3RD OWNER
PETROL
KA-01",1.5L I-VTEC S MTManual,"₹3,07,000","Bellahalli, Bengaluru"
5,2012 Hyundai Verna,"79,291 KM
2ND OWNER
DIESEL
KA-04",FLUIDIC 1.6 CRDI SXManual,"₹4,86,000
₹4,91,000","Horamavu Agara Road, Bengaluru"
6,2015 Maruti Swift Dzire,"43,469 KM
1ST OWNER
PETROL
KA-52",ZXIManual,"₹6,57,000
₹6,82,000","Horamavu Agara Road, Bengaluru"
7,2017 Hyundai Verna,"27,636 KM
2ND OWNER
PETROL
KA-50",FLUIDIC 4S 1.4 VTVTManual,"₹6,93,000
₹7,27,000","Hosur Road, Singasandra, Bengaluru"
8,2022 Honda Amaze,"12,851 KM
1ST OWNER
PETROL
KA-01",1.2L I-VTEC VX CVTAutomatic,"₹9,12,000","Hosur Road, Singasandra, Bengaluru"
9,2014 Tata Zest,"53,473 KM
1ST OWNER
PETROL
KA-03",XMS PETROLManual,"₹4,16,000
₹4,57,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
10,2015 Maruti Swift Dzire,"60,386 KM
1ST OWNER
PETROL
KA-53",VXIManual,"₹5,40,000","Bellahalli, Bengaluru"
11,2017 Hyundai Verna,"33,394 KM
1ST OWNER
PETROL
KA-51",1.6 VTVT SX OManual,"₹8,65,000","Hosur Road, Singasandra, Bengaluru"
12,2013 Maruti Swift Dzire,"65,881 KM
2ND OWNER
PETROL
KA-53",VXIManual,"₹4,51,000
₹4,69,000","Bellahalli, Bengaluru"
13,2013 Honda City,"49,586 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC V MTManual,"₹4,89,000
₹5,72,000","Horamavu Agara Road, Bengaluru"
14,2017 Skoda Rapid,"48,960 KM
2ND OWNER
DIESEL
KA-52",1.5 TDI MT AMBITIONManual,"₹7,51,600
₹8,63,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
15,2014 Maruti Swift Dzire,"58,833 KM
2ND OWNER
PETROL
KA-51",VXIManual,"₹4,47,000
₹5,26,000",Sonnappanahalli
16,2020 Skoda Rapid,"11,633 KM
1ST OWNER
PETROL
KA-05",ACTIVE 1.0 TSIManual,"₹8,78,000","Bellahalli, Bengaluru"
17,2016 Maruti Swift Dzire,"71,423 KM
1ST OWNER
PETROL
KA-53",ZXIManual,"₹5,73,000
₹6,51,000","Bellahalli, Bengaluru"
18,2015 Volkswagen Vento,"60,841 KM
2ND OWNER
PETROL
KA-03",COMFORTLINE 1.6Manual,"₹5,39,000
₹5,67,000","Horamavu Agara Road, Bengaluru"
19,2018 Toyota YARIS,"24,612 KM
1ST OWNER
PETROL
KA-04",J MTManual,"₹6,93,000
₹8,69,000","Garuda Mall, Magrath Road, Bengaluru"
20,2020 Skoda Rapid,"29,184 KM
1ST OWNER
PETROL
KA-04",ACTIVE 1.0 TSIManual,"₹7,99,000
₹8,19,000",Sonnappanahalli
21,2012 Honda City,"49,853 KM
2ND OWNER
PETROL
KA-03",1.5L I-VTEC V MTManual,"₹4,87,000
₹5,21,000","Bellahalli, Bengaluru"
22,2017 Tata TIGOR,"51,041 KM
1ST OWNER
PETROL
KA-06",XZ (O) PETROLManual,"₹5,20,000
₹5,46,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
23,2013 Honda City,"1,14,622 KM
2ND OWNER
PETROL
KA-53",1.5L I-VTEC S MTManual,"₹4,47,000
₹4,65,000","Bellahalli, Bengaluru"
24,2020 Honda Amaze,"37,176 KM
2ND OWNER
PETROL
KA-53",1.2L I-VTEC VXManual,"₹6,69,000
₹7,37,000","Bellahalli, Bengaluru"
25,2018 Honda Amaze,"51,569 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC VManual,"₹5,77,500
₹6,10,000","Horamavu Agara Road, Bengaluru"
26,2019 Maruti Dzire,"23,212 KM
1ST OWNER
PETROL
KA-02",VXI AMTAutomatic,"₹6,92,000
₹7,63,000","Horamavu Agara Road, Bengaluru"
27,2017 Skoda Rapid,"36,024 KM
1ST OWNER
PETROL
KA-03",AMBITION 1.6 MPI MTManual,"₹7,13,000
₹7,97,000",Sonnappanahalli
28,2016 Honda Amaze,"19,356 KM
2ND OWNER
PETROL
KA-03",1.2L I-VTEC VXManual,"₹5,29,000
₹6,03,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
29,2017 Maruti Dzire,"43,525 KM
1ST OWNER
PETROL
KA-05",VXIManual,"₹6,03,600
₹7,13,000","Horamavu Agara Road, Bengaluru"
30,2015 Volkswagen Vento,"74,997 KM
1ST OWNER
DIESEL
KA-04",HIGHLINE TDI ATAutomatic,"₹7,04,000
₹8,74,000","Horamavu Agara Road, Bengaluru"
31,2018 Hyundai Xcent,"31,738 KM
1ST OWNER
PETROL
KA-53",SX 1.2Manual,"₹6,18,000
₹7,05,000","Bellahalli, Bengaluru"
32,2016 Volkswagen Ameo,"94,548 KM
2ND OWNER
PETROL
KA-03",TRENDLINE 1.2LManual,"₹4,23,000
₹4,79,000","Bellahalli, Bengaluru"
33,2012 Hyundai Verna,"99,327 KM
2ND OWNER
DIESEL
KA-41",FLUIDIC 1.6 CRDI SX ATAutomatic,"₹4,94,250
₹5,69,000","Bellahalli, Bengaluru"
34,2017 Honda City,"62,708 KM
1ST OWNER
PETROL
KA-01",1.5L I-VTEC ZX CVTAutomatic,"₹10,44,000
₹10,55,000","Bellahalli, Bengaluru"
35,2018 Honda City,"25,742 KM
2ND OWNER
PETROL
KA-01",1.5L I-VTEC V MTManual,"₹7,96,000
₹8,68,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
36,2020 Hyundai Verna,"33,760 KM
1ST OWNER
DIESEL
KA-19",SX (O) 1.5 CRDIManual,"₹13,72,000
₹14,66,000","Horamavu Agara Road, Bengaluru"
